name,date,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units,life_expectancy,total_enrolled_SNAP,asian_SNAP_enrollment_perc,black_SNAP_enrollment_perc,other_SNAP_enrollment_perc,white_SNAP_enrollment_perc,hdi_index,num_households,single_parent_households,mobile_home_households,no_HS_diploma_households,no_vehicle_households,limited_english_households,eviction_filings,eviction_rate_perc,hl_binge_drinking_prev,hl_high_blood_pressure_prev,hl_cancer_prev,hl_asthma_prev,hl_heart_disease_prev,hl_doctor_visits_prev,hl_smoking_prev,hl_dentist_visits_prev,hl_kidney_disease_prev,hl_poor_mental_health_prev,hl_obesity_prev,hl_poor_sleep_prev,hl_stroke_prev,hs_subsidized_units,hl_VA_health_coverage,hl_public_coverage,hl_medicare_coverage,hl_private_coverage,inc_no_internet_households,inc_internet_households,hs_median_rent,acs_SNAP_household_total,acs_SNAP_household_white,acs_SNAP_household_black,acs_SNAP_household_Asian
t3007801,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008100,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008100,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3008100,2018,3356.0,30.0,51.0,49.0,87.0,4.0,5.0,0.0,84.0,4.0,8.0,58471.0,74501.0,21.0,34.0,1588.0,42.0,2.0,17.0,3.0,36.0,98.0,23.0,1816.0,542.0,1274.0,81.0,729.0,,38.0,,61.0,5.96,1816.0,21.0,0.0,46.0,253.0,0.0,,,30.4,13.5,3.5,7.2,2.0,62.1,11.7,79.8,1.4,9.0,20.6,26.8,1.1,6.0,45.0,337.0,242.0,2837.0,216.0,3056.0,955.0,62.0,36.0,12.0,0.0
t3008100,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008200,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008200,2018,4118.0,34.0,48.0,52.0,55.0,28.0,3.0,8.0,69.0,4.0,25.0,28520.0,47124.0,73.0,20.0,997.0,47.0,1.0,13.0,1.0,38.0,83.0,28.0,1957.0,347.0,1610.0,,9454.0,0.0,77.0,11.0,10.0,,1957.0,98.0,0.0,836.0,808.0,649.0,41.0,32.0,21.6,25.7,4.6,8.8,5.2,65.8,20.1,57.2,3.1,13.4,31.5,33.5,3.3,615.0,53.0,1168.0,504.0,1874.0,1040.0,2837.0,764.0,620.0,97.0,443.0,0.0
t3008200,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3008300,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
