,Neighborhood,Lat,Long
441,WHITTIER,44.95195274,-93.28616682
442,NORTH LOOP,44.984590000000004,-93.26788
443,ELLIOT PARK,44.96761371,-93.26510456
444,ST. ANTHONY EAST,44.99508483,-93.25306469
447,SEWARD,44.95557,-93.23467
448,KEEWAYDIN,44.90808569,-93.2257396
449,WENONAH,44.900796500000006,-93.23234887
450,DIAMOND LAKE,44.90251843,-93.25383087
451,DOWNTOWN WEST,44.98164758,-93.27311624
452,VENTURA VILLAGE,44.96002924,-93.25293809
453,VENTURA VILLAGE,44.9627,-93.26255
454,DOWNTOWN WEST,44.97311213,-93.27736856
457,HOWE,44.93971597,-93.20420548
458,HIAWATHA,44.92694745,-93.21954218
459,CEDAR RIVERSIDE,44.969658200000005,-93.25060737
460,LIND - BOHANON,45.04300085,-93.29274003
461,FOLWELL,45.02318139,-93.30832352
462,WHITTIER,44.96001238,-93.28547181
463,CENTRAL,44.94835162,-93.26712512
464,DOWNTOWN WEST,44.97459,-93.27613000000001
465,CENTRAL,44.93684663,-93.27274778
466,ELLIOT PARK,44.97236806,-93.26312004
467,MARSHALL TERRACE,45.01388908,-93.26890728
468,FOLWELL,45.0159066,-93.30191162
469,MIDTOWN PHILLIPS,44.95822357,-93.26129990000001
470,STANDISH,44.935010299999995,-93.2308515
471,SEWARD,44.96096222,-93.23696372
472,CLEVELAND,45.01356972,-93.3095168
473,CARAG,44.94041722,-93.29454809999999
474,JORDAN,45.00426231,-93.29410754
476,NEAR - NORTH,44.99913768,-93.28875577
478,CARAG,44.94836293,-93.28873705
479,WENONAH,44.89890448,-93.24123114
480,ELLIOT PARK,44.97034,-93.26298
481,HIAWATHA,44.92332655,-93.21977673
483,NORTH LOOP,44.98695,-93.27356
484,PROSPECT PARK - EAST RIVER ROAD,44.97231,-93.21533000000001
485,WEBBER - CAMDEN,45.03544697,-93.30122512
487,CARAG,44.94291,-93.29199
488,POWDERHORN PARK,44.94563808,-93.26009408
493,HAWTHORNE,45.006849700000004,-93.29431515
494,PHILLIPS WEST,44.94835,-93.26903
495,WHITTIER,44.94955167,-93.28134598
496,WEBBER - CAMDEN,45.03773833,-93.30663809999999
497,SEWARD,44.96261034,-93.24696445
499,DOWNTOWN WEST,44.98078144,-93.27429567
500,JORDAN,45.01044525,-93.29558409
501,DOWNTOWN WEST,44.97359,-93.27696999999999
503,ELLIOT PARK,44.96627,-93.26765999999999
505,VENTURA VILLAGE,44.96136713,-93.259654
506,CLEVELAND,45.0159514,-93.31079706
507,MIDTOWN PHILLIPS,44.95195537,-93.26136643
512,WHITTIER,44.95732,-93.27963000000001
513,CENTRAL,44.94835,-93.27411
514,MARCY HOLMES,44.98484107,-93.24020967
515,LIND - BOHANON,45.04116887,-93.29399674
518,NEAR - NORTH,44.98882984,-93.29103964
520,SHERIDAN,45.00198082,-93.26024676
523,LOWRY HILL,44.96342332,-93.29562284
524,MIDTOWN PHILLIPS,44.948370000000004,-93.25378
525,CLEVELAND,45.02136805,-93.30828599
526,CEDAR RIVERSIDE,44.96549,-93.23615
527,VICTORY,45.03877842,-93.31675018
528,LYNDALE,44.94747481,-93.28302135
530,PROSPECT PARK - EAST RIVER ROAD,44.97188715,-93.21427495
531,SEWARD,44.95558,-93.22414
532,UNIVERSITY OF MINNESOTA,44.97868889,-93.2344821
533,MCKINLEY,45.02120951,-93.28652103
534,EAST PHILLIPS,44.95779751,-93.24733141
535,MID - CITY INDUSTRIAL,45.00119992,-93.21146038
536,LYNNHURST,44.91145312,-93.30741341
537,MINNEHAHA,44.90680686,-93.20154711
