tractID,mean,standard_error
t3110900,77.5,1.7136
t3111100,79.5,1.6498
t3111200,80.4,1.7486
t3111300,82.9,1.695
t3111400,83.8,1.9036
t3111500,77.8,1.0498
t3111600,82.2,1.6979
t3122500,82.8,2.5125
t3122600,83.7,2.4447
t3125500,80.3,1.4144
t3125600,89.4,3.6809
t3125700,74.5,1.16
t3125800,77.3,1.8113
t3125900,76,3.3917
t3126000,73.7,1.3873
t3126100,78.3,2.2732
t3170100,79.4,1.0156
t3170198,85.8,1.9273
t3170200,82,1.1994
t3170200,79.5,1.1978
t3170300,81.3,2.1897
t3170300,79.3,1.0735
t3170400,76.6,1.5975
t3170400,78.7,1.1773
t3170500,87.4,3.2285
t3170600,76.6,2.5054
t3170700,75.4,2.4368
t3170800,77.8,0.9796
t3170900,78.9,1.8919
t3171000,82.2,1.4664
t3171202,77.8,1.6072
t3171300,85,1.9868
t3171400,81.4,1.3117
t3171500,87.3,2.8292
t3171600,76.5,1.1432
t3180100,78.1,1.4546
t3180200,77.6,0.4844
t3180300,81.8,1.5091
t3270100,82.3,1.2179
t3270200,77.1,1.7128
t3270300,85.4,2.5397
t3270400,75.2,1.6075
t3360100,80.3,1.1656
t3360200,79.6,0.6458
t3360300,79.6,1.2544
t3360400,78.8,1.131
t3360500,85.3,2.4558
t3360600,80.1,1.1256
t3360700,76.5,1.6288
t3460100,85.3,2.2535
t3460200,78,1.1768
t3460300,84.5,2.6674
t3460400,78.1,1.2139
t3460500,83.5,2.3514
t3460600,77.8,1.3149
t3480100,83.2,1.8388
t3480100,85.8,2.1631
t3480200,83.8,1.9691
t3480200,81.6,1.141
t3480300,85.5,1.9089
t3480300,80.7,1.5381
t3480400,86.5,2.4311
t3480400,77.9,0.8247
t3480501,81,1.1734
t3480502,77,1.7684
t3480600,87.2,3.7969
t3560100,80,1.0122
t3560200,79.5,1.2185
t3560300,78.2,1.0035
t3560400,78.7,0.9031
t3560500,83.6,1.6894
t3560600,84,1.3859
t3570100,78.4,0.5773
t3570200,77.7,1.2318
t3570300,80.1,1.2547
t3790100,81.7,2.3862
t3790200,86.2,2.4313
t3790300,80.3,1.357
t3790400,84.5,2.2938
t3790500,77.6,0.7661
t3790600,78.2,1.1927
t3790700,85.2,1.69
t3790800,78.4,0.5745
t3950300,81.8,2.0498
t3950400,77.9,1.6307
t3950500,81.5,2.2837
t3950600,79.1,1.2634
t3970100,78,1.4411
t3970200,76.7,1.3178
t3970300,82.3,1.3965
t3970400,86.3,2.7756
t5000301,78.5,3.1854
t5000401,84.4,3.3981
t5000402,83.8,2.3802
t5000500,79.9,1.1176
t5000601,75.8,1.0646
t5000602,77.5,1.8167
t5000701,82.1,2.0299
t5000801,78.6,1.8532
t5000901,77.5,1.1602
t5001001,77.9,0.7997
t5010100,82.9,2.3158
t5010101,83.9,3.0686
t5010102,81.1,1.4627
t5010200,78.7,1.428
t5010200,86.4,2.7536
t5010401,85.7,2.7519
t5010402,83.1,1.6165
t5010403,82.4,1.4838
t5010500,91.2,3.8502
t5010600,81.5,1.1665
t5010900,84.1,1.4834
t5011000,82,1.2512
t5011100,83.7,1.4911
t5011200,82,1.0833
t5011301,85.1,2.9662
t5011302,81,1.0405
t5011304,78.7,0.6904
t5011400,82.4,1.74
t5011500,81.6,1.2824
t5020100,82.3,1.2076
t5020200,87.3,2.2958
t5020300,81.1,1.4609
t5020500,82.1,1.4056
t5020900,81.6,1.5532
t5105100,87.6,2.5882
t5105200,80.6,1.3419
t5105300,78.7,0.5774
t5105400,78.8,1.4059
t5105500,84.6,2.7291
t5105600,82.2,1.1893
t5110100,81.4,1.813
t5110200,79.6,0.7957
t5110301,81.7,2.8069
t5110302,76.9,1.2375
t5110401,82.9,1.6611
t5110402,82.6,2.102
t5110501,80.1,1.5827
t5110502,80,1.2987
t5110600,79.2,1.5404
t5110700,78.4,0.7543
t5170400,77.3,0.7011
t5170500,77.6,0.7086
t5170600,83.4,2.3066
t5170700,76.1,1.3434
t5370100,83.3,1.9464
t5370300,77.5,1.2131
t5370400,78.3,1.2903
t5450100,77.6,0.5975
t5450200,81.7,2.0502
t5450300,78,1.0715
t5450400,79.4,0.8381
t5450500,76,1.3
t5450600,76.9,1.1927
t5450700,79.4,0.7912
t5450800,86.8,3.943
t5450900,83.8,2.9952
t5460100,79.3,1.4304
t5460200,76.7,1.9933
t5480100,81.5,1.879
t5480200,82.3,1.9169
t5480300,77.5,1.1701
t5480400,79.6,0.9431
t5940000,83.9,3.0356
t5950100,77.1,2.7489
t5950100,79.6,0.8793
t5950100,82.5,2.2351
t5950100,82.4,1.3406
t5950200,80.8,1.13
t5950200,79.7,1.5445
t5950200,77.8,1.2482
t5950204,79.2,1.5903
t5950300,78.8,1.271
t5950300,81.1,1.6147
t5950300,85.1,1.7685
t5950400,80.6,1.1345
t5950400,84.5,2.1039
t5950400,78.1,1.0798
t5950500,83.6,2.0707
t5950500,79,1.0766
t5950501,82.3,1.8592
t5950502,81.6,2.5757
t5950600,88.1,2.7297
t5950600,79.1,1.639
t5950700,79.3,0.923
t5950700,79.9,1.1053
t5950700,79.6,1.5408
t5950800,83.3,1.4575
t5950800,78.4,1.4441
t5950900,79.9,1.3712
t5951000,76.1,1.8416
t5951100,74.3,1.1104
t5951200,82.7,3.9723
t5951301,78.9,0.9334
t5951302,79.4,1.1661
t5951400,84.1,1.7629
t5951600,83.4,2.0095
t5951700,81.4,1.5685
t5960100,82.4,1.1724
t5960101,77.2,1.0679
t5960102,82.1,2.9234
t5960200,85.9,2.0619
t5960200,81.8,0.9561
t5960300,84.6,2.3642
t5960300,80.1,1.048
t5960400,79.3,0.8557
t5960400,88.4,2.7147
t5960500,78.4,1.2279
t5960500,80.8,1.1921
t5960600,78.3,1.1787
t5960600,81.7,1.0685
t5960700,84.7,1.666
t5970100,77,2.2161
t5970100,80.1,1.1956
t5970200,70.6,1.6073
t5970200,84.1,3.3717
t5970300,80,1.4184
t5970300,79.4,0.7939
t5970400,90.1,3.7277
t5970500,77.9,1.6482
t7000100,90.6,3.9801
t7000200,87.7,2.6802
t7000300,77.2,0.9744
t7000400,79.2,0.6997
t7000600,80.6,1.55
t7000700,83.1,1.6726
t7000900,83.3,3.0197
t7001000,82.5,2.3008
t7001100,81.4,1.2224
t7001200,73.5,2.8445
t7001600,72.3,3.1481
t7001700,66.4,3.0808
t7001800,75.4,1.3621
t7002000,75.6,2.8707
t7002200,66.4,2.3887
t7002300,78.5,0.9072
