year,name,Filings,Evictions
2012,t3025906,22,6
2012,t3026006,11,6
2012,t3026007,15,3
2012,t3026016,10,4
2012,t3026019,42,23
2012,t3026104,12,2
2012,t3026301,11,4
2012,t3026402,14,2
2012,t3026404,11,1
2012,t3026507,14,2
2012,t3026508,16,2
2012,t3026510,18,6
2012,t3026511,34,9
2012,t3026512,28,9
2012,t3026514,31,8
2012,t3026611,10,4
2012,t3026612,18,5
2012,t3026613,11,1
2012,t3026710,25,5
2012,t3026714,13,3
2012,t3026715,15,2
2012,t3026807,107,25
2012,t3026809,165,56
2012,t3026810,102,36
2012,t3026811,31,8
2012,t3026812,16,4
2012,t3026814,31,8
2012,t3026815,20,7
2012,t3026816,42,9
2012,t3026818,31,12
2012,t3026819,198,80
2012,t3026820,22,2
2012,t3026822,23,12
2012,t3026903,13,4
2012,t3026906,15,3
2012,t3026907,20,6
2012,t3026909,18,2
2012,t3026910,40,12
2012,t3027001,11,5
2012,t3027002,11,1
2012,t3027102,10,3
2012,t3027201,10,3
2012,t3027203,11,5
2012,t3027300,14,1
2012,t3027501,24,7
2012,t3027601,15,4
2012,t3027602,22,6
2012,t3027700,15,7
2012,t3100200,30,8
2012,t3100400,55,23
2012,t3100700,33,10
2012,t3100800,55,20
2012,t3100900,96,36
2012,t3101300,35,16
2012,t3101600,80,35
2012,t3101800,38,13
2012,t3101900,35,14
2012,t3102000,31,12
2012,t3102100,65,21
2012,t3102300,42,16
2012,t3102500,23,7
2012,t3102600,27,11
2012,t3102800,59,25
2012,t3102900,23,8
2012,t3103000,12,2
2012,t3103100,20,6
2012,t3103400,32,14
2012,t3104000,19,7
2012,t3104100,45,15
2012,t3104400,13,5
2012,t3104800,19,5
2012,t3104900,10,2
2012,t3105201,18,2
2012,t3105204,38,16
2012,t3105400,34,11
2012,t3105500,10,4
2012,t3105600,33,10
2012,t3105700,78,31
2012,t3106000,36,16
2012,t3106700,31,12
2012,t3106900,24,12
2012,t3107000,27,9
2012,t3107400,20,10
2012,t3108600,24,8
2012,t3108700,22,8
2012,t3108800,37,13
2012,t3109200,15,6
2012,t3109300,31,12
2012,t3109400,20,6
2012,t3109700,14,6
2012,t3110100,12,3
2012,t3110800,10,3
2012,t3110900,11,6
2012,t3111500,11,1
2012,t3111600,10,2
2012,t3122500,17,1
2012,t3125500,23,6
2012,t3125700,72,34
2012,t3125800,65,23
2012,t3125900,26,7
2012,t3126000,41,11
2012,t3126100,40,12
2012,t3126200,19,11
2012,t3032500,10,4
2013,t3000101,25,7
2013,t3000102,56,21
2013,t3000300,21,8
2013,t3000601,23,6
2013,t3001100,13,9
2013,t3001700,12,5
2013,t3002200,36,13
2013,t3002700,46,18
2013,t3003200,21,9
2013,t3003300,44,23
2013,t3005901,53,26
2013,t3005902,33,17
2013,t3006800,45,20
2013,t3007700,27,11
2013,t3007801,21,13
2013,t3008100,14,4
2013,t3008200,55,22
2013,t3008300,15,8
2013,t3008400,15,3
2013,t3008500,39,9
2013,t3009500,18,6
2013,t3009600,29,11
2013,t3012001,11,4
2013,t3012003,26,7
2013,t3012101,48,22
2013,t3020200,104,41
2013,t3020302,16,3
2013,t3020303,14,5
2013,t3020304,32,11
2013,t3020400,34,14
2013,t3020500,16,2
2013,t3020700,17,3
2013,t3020801,13,4
2013,t3020804,34,15
2013,t3021001,33,12
2013,t3021002,11,4
2013,t3021200,26,2
2013,t3021300,27,13
2013,t3021400,16,3
2013,t3021501,31,15
2013,t3021502,37,13
2013,t3021503,31,8
2013,t3021504,31,8
2013,t3021505,46,8
2013,t3021602,14,4
2013,t3022101,13,6
2013,t3022200,16,4
2013,t3022302,36,12
2013,t3022400,17,7
2013,t3022700,22,6
2013,t3022802,15,2
2013,t3022901,15,2
2013,t3023000,24,8
2013,t3023200,48,11
2013,t3023300,24,8
2013,t3023400,14,4
2013,t3024003,10,2
2013,t3024100,10,1
2013,t3024300,13,7
2013,t3024400,23,10
2013,t3024600,10,1
2013,t3024802,38,17
2013,t3024902,12,5
2013,t3024903,23,6
2013,t3025100,29,8
2013,t3025201,31,7
2013,t3025205,17,4
2013,t3025302,14,5
2013,t3025401,14,3
